Time	realtime	AlgorhithmStage	AutoDoserStatus	BaseProgramID	CoinOperator	CommandParameter	CurrentError	DelayedError	DoorLock	DoorRelay	DrumLight	EPS	EPS_Error	EPS_Plausible	EPS_PlausibleU8	ErrorCounter	Exception	FinalRpm	FinalRpm0	ForbiddenRpmH	ForbiddenRpmL	HalfLoad	HandledError	Heater	I1	IFull	Inertia	InertiaAccumulator	InertiaSamples	InitialParameter0	MotorSetPoint	Ionizer	IsSpinFinished	MaxAddTime	MaxRed	MaxRpm	Mode_ID	MotorDriverTemperature	MotorPower	MotorSpeed	MotorState	MotorView	NTC	NTC_Error	NWL	NrRed	NrRepeatSt1	NrStage3	NrStage4	NrStage5	NumAnticrease	Overflow	OverFlowDetection	Peak600	PlannedStage	PumpAir	PumpDrain	PumpRecirculation	RawInertia	RawUblHigh	RawUblHighCompensated	RawUblLow	RawUblLowCompensated	RpmB	RpmC	S11Reduction	SafetyRelay	SkipSkip	SkipSpin	SpinHandlerTimer	SpinProfile	SpinProfileB	SpinSkipFlag	SpinState	SpinTimer	St10Time2	St8Rpm1	St9Rpm1	StandBy	StatusBits	StepCounter	SterilTubeAlert	TargetTemperature	TargetWaterLevel	TemperatureID	TimeProgramSelectedTime	TimeToEnd	UIWakeUp	UblAB	UblC	UblEH	UblEL	UblEM	UblFH	UblFL	UblFM	UblH	UblHigh	UblL	UblLow	UblM	UBL_STABILITY_HIGH	UBL_STABILITY_LOW	UblTestValue	ValveAquaStop	ValveCold1	ValveCold2	ValveCold4	ValveHot	WashPhase	WashTimer	WasherLogicState	WaterLevel	eState	option5	MAT_version	PCU_version	MCU_version	Touch_version	DrumOffset_Hight	DrumOffset_Low	WashStep	X_RMS	Y_RMS	Z_RMS	Machine No.	LineVoltage	Reserved1	Reserved2	Created By Gorenje Electronic R&D Department	
2023-07-11 16:46:29.08	0:00:22.383337	0	1	29	0	2	0	0	1	0	0	603	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	29.9	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	45	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:30.08	0:00:23.380798	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	29.4	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:31.08	0:00:24.385112	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	29.0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:32.08	0:00:25.388428	0	1	29	0	2	0	0	1	0	0	603	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	28.6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	45	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:33.09	0:00:26.398725	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	28.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:34.08	0:00:27.387707	0	1	29	0	2	0	0	1	0	0	603	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	27.9	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	45	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:35.10	0:00:28.402954	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:36.10	0:00:29.402278	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	27.0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:37.08	0:00:30.389636	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	26.7	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:38.09	0:00:31.398939	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	26.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
